record id,Product_Rating,Service_Rating,Sales_Rep_Rating
S01177,2,5,4
S01178,3,3,4
S01179,3,4,4
S01180,3,4,3
S01181,1,1,1
S01182,4,3,2
S01183,5,2,1
S01184,3,3,4
S01185,1,2,1
S01186,1,1,3
S01187,1,3,5
S01188,1,2,4
S01189,2,5,3
S01190,4,5,3
S01191,1,1,2
S01192,2,1,4
S01193,4,2,4
S01194,4,1,4
S01195,3,2,1
S01196,3,3,2
S01197,3,5,4
S01198,1,3,4
S01199,2,3,2
S01200,4,2,4
S01201,2,2,1
S01202,4,2,1
S01203,5,3,1
S01204,4,2,1
S01205,1,2,5
S01206,3,4,4
S01207,5,5,4
S01208,2,2,4
S01209,4,2,2
S01210,1,3,1
S01211,2,1,2
S01212,5,1,5
S01213,1,2,2
S01214,4,3,3
S01215,4,3,1
S01216,4,3,2
S01217,2,5,5
S01218,4,2,5
S01219,4,4,4
S01220,1,4,2
S01221,2,1,1
S01222,1,2,1
S01223,5,4,4
S01224,1,4,4
S01225,1,5,3
S01226,5,1,5
S01227,2,1,5
S01228,1,2,3
S01229,1,1,2
S01230,5,2,3
S01231,4,2,2
S01232,3,1,2
S01233,4,2,3
S01234,5,5,2
S01235,1,5,3
S01236,1,4,1
S01237,3,5,4
S01238,4,2,3
S01239,1,5,4
S01240,1,3,2
S01241,5,4,4
S01242,2,2,1
S01243,2,3,5
S01244,3,5,5
S01245,2,3,4
S01246,1,3,1
S01247,5,4,2
S01248,4,1,1
S01249,2,1,3
S01250,2,1,4
S01251,3,1,4
S01252,4,3,1
S01253,1,5,3
S01254,4,1,4
S01255,3,2,5
S01256,1,3,4
S01257,2,3,1
S01258,4,5,1
S01259,4,5,5
S01260,5,3,4
S01261,5,5,3
S01262,2,4,3
S01263,5,3,5
S01264,2,5,3
S01265,4,5,2
S01266,1,3,3
S01267,5,5,2
S01268,5,3,4
S01269,5,3,3
S01270,3,4,5
S01271,1,2,5
S01272,1,5,4
S01273,1,5,2
S01274,5,2,3
S01275,3,1,4
S01276,2,3,1
S01277,1,2,4
S01278,3,3,1
S01279,2,1,2
S01280,2,1,3
S01281,1,4,1
S01282,5,3,3
S01283,3,3,2
S01284,4,2,4
S01285,5,5,3
S01286,5,2,1
S01287,2,1,4
S01288,2,5,3
S01289,1,4,3
S01290,2,2,5
S01291,4,3,1
S01292,5,3,1
S01293,1,3,3
S01294,4,4,5
S01295,3,3,3
S01296,2,2,4
S01297,1,2,1
S01298,1,1,4
S01299,2,1,3
S01300,2,2,4
S01301,2,3,5
S01302,2,2,3
S01303,2,1,5
S01304,5,5,5
S01305,1,4,1
S01306,4,3,3
S01307,4,2,4
S01308,4,2,4
S01309,5,3,5
S01310,4,1,2
S01311,2,2,1
S01312,2,5,1
S01313,5,4,3
S01314,5,2,5
S01315,4,3,4
S01316,5,4,2
S01317,4,3,3
S01318,2,2,3
S01319,4,5,5
S01320,3,4,3
S01321,1,5,3
S01322,4,1,1
S01323,1,5,3
S01324,1,1,4
S01325,3,3,3
S01326,1,1,3
S01327,4,5,5
S01328,1,1,1
S01329,2,5,5
S01330,4,5,4
S01331,5,3,5
S01332,5,3,4
S01333,1,2,4
S01334,1,1,5
S01335,1,4,1
S01336,2,2,3
S01337,4,1,3
S01338,2,4,4
S01339,5,3,4
S01340,2,2,1
S01341,5,1,5
S01342,1,3,4
S01343,2,4,4
S01344,3,2,1
S01345,3,3,5
S01346,4,3,2
S01347,1,2,2
S01348,5,2,2
S01349,1,1,4
S01350,5,2,4
S01351,1,2,4
S01352,1,1,4
S01353,5,4,3
S01354,5,5,3
S01355,3,4,5
S01356,1,4,2
S01357,2,1,2
S01358,3,1,2
S01359,4,5,2
S01360,1,4,5
S01361,3,2,3
S01362,5,4,5
S01363,5,1,3
S01364,5,5,1
S01365,4,1,3
S01366,1,4,4
S01367,5,3,4
S01368,1,2,5
S01369,5,1,3
S01370,3,1,4
S01371,4,4,1
S01372,1,2,4
S01373,4,1,2
S01374,2,4,1
S01375,1,2,2
S01376,5,1,1
S01377,1,5,3
S01378,3,5,2
S01379,3,5,4
S01380,3,1,4
S01381,1,5,2
S01382,5,1,5
S01383,5,2,1
S01384,4,5,2
S01385,5,3,4
S01386,4,4,3
S01387,2,3,4
S01388,5,1,2
S01389,2,2,1
S01390,5,1,4
S01391,3,2,3
S01392,3,5,2
S01393,4,2,2
S01394,2,5,2
S01395,4,5,1
S01396,4,3,5
S01397,2,1,3
S01398,2,2,1
S01399,1,3,4
S01400,5,2,1
S01401,5,2,3
S01402,1,4,4
S01403,4,1,4
S01404,5,4,1
S01405,1,2,1
S01406,4,4,4
S01407,5,3,2
S01408,3,5,2
S01409,1,1,3
S01410,1,4,4
S01411,3,1,3
S01412,5,1,4
S01413,5,4,4
S01414,4,4,3
S01415,4,4,2
S01416,2,1,1
S01417,3,3,3
S01418,2,2,4
S01419,1,5,2
S01420,5,4,4
S01421,3,2,5
S01422,2,3,3
S01423,1,5,1
S01424,4,2,4
S01425,4,1,3
S01426,4,5,3
S01427,1,4,1
S01428,5,4,5
S01429,2,3,5
S01430,5,4,2
S01431,4,3,2
S01432,2,1,3
S01433,3,2,2
S01434,4,4,4
S01435,5,2,2
S01436,3,4,2
S01437,4,2,2
S01438,1,1,3
S01439,5,4,1
S01440,1,4,3
S01441,5,3,1
S01442,3,3,3
S01443,5,1,3
S01444,2,5,4
S01445,1,5,2
S01446,5,4,1
S01447,1,2,5
S01448,4,4,4
S01449,5,1,2
S01450,2,2,5
S01451,3,3,3
S01452,5,5,2
S01453,2,4,3
S01454,3,1,3
S01455,5,2,2
S01456,4,1,1
S01457,4,5,1
S01458,5,1,3
S01459,4,2,1
S01460,2,2,5
S01461,4,1,4
S01462,1,1,4
S01463,4,1,4
S01464,2,3,3
S01465,4,4,2
S01466,4,4,3
S01467,5,2,2
S01468,2,5,1
S01469,2,5,4
S01470,1,1,5
S01471,5,1,1
S01472,5,1,2
S01473,2,1,5
S01474,2,1,3
S01475,2,5,4
S01476,4,2,2
S01477,5,1,5
S01478,2,4,5
S01479,4,5,1
S01480,3,5,1
S01481,4,3,1
S01482,3,2,1
S01483,1,4,1
S01484,1,4,1
S01485,5,2,4
S01486,3,1,4
S01487,4,5,2
S01488,2,2,5
S01489,5,3,2
S01490,2,5,1
S01491,2,2,4
S01492,4,3,4
S01493,2,3,4
S01494,3,2,3
S01495,2,4,2
S01496,4,5,3
S01497,1,1,1
S01498,2,1,3
S01499,2,4,4
S01500,3,3,4
S01501,2,1,5
S01502,3,4,3
S01503,1,3,3
S01504,1,4,4
S01505,5,1,1
S01506,4,2,1
S01507,3,1,4
S01508,5,3,1
S01509,4,1,3
S01510,5,3,4
S01511,4,5,4
S01512,2,2,3
S01513,3,3,1
S01514,4,3,2
S01515,4,2,4
S01516,4,5,5
S01517,3,1,2
S01518,3,5,2
S01519,4,5,2
S01520,3,4,4
S01521,4,5,4
S01522,1,1,1
S01523,4,5,5
S01524,5,5,5
S01525,1,5,3
S01526,1,5,3
S01527,4,1,5
S01528,1,4,5
S01529,5,2,1
S01530,2,3,4
S01531,2,2,3
S01532,5,2,5
S01533,2,4,3
S01534,3,5,1
S01535,4,5,1
S01536,3,5,1
S01537,5,3,2
S01538,4,3,4
S01539,5,3,3
S01540,4,5,5
S01541,5,3,5
S01542,2,2,4
S01543,2,2,1
S01544,1,4,1
S01545,5,2,5
S01546,3,3,5
S01547,3,1,4
S01548,2,2,4
S01549,4,2,2
S01550,1,1,1
S01551,5,3,3
S01552,5,1,4
S01553,5,4,3
S01554,4,4,2
S01555,4,1,2
S01556,4,5,2
S01557,1,3,1
S01558,5,4,3
S01559,5,5,4
S01560,5,4,2
S01561,5,5,1
S01562,3,1,4
S01563,2,5,4
S01564,5,1,2
S01565,4,2,3
S01566,3,4,4
S01567,4,4,4
S01568,5,1,5
S01569,2,4,1
S01570,5,1,4
S01571,2,5,4
S01572,4,1,5
S01573,5,5,5
S01574,3,5,1
S01575,4,1,1
S01576,2,4,5
S01577,4,2,1
S01578,5,3,5
S01579,4,5,3
S01580,2,5,2
S01581,3,3,5
S01582,1,4,1
S01583,4,5,3
S01584,1,1,1
S01585,2,2,4
S01586,1,1,5
S01587,5,3,5
S01588,3,4,2
S01589,5,5,2
S01590,1,5,5
S01591,5,1,3
S01592,1,3,2
S01593,1,1,1
S01594,5,5,3
S01595,4,5,2
S01596,1,1,5
S01597,4,2,3
S01598,5,5,4
S01599,4,4,2
S01600,3,1,2
S01601,1,3,2
S01602,4,5,2
S01603,4,1,4
S01604,3,5,4
S01605,5,4,1
S01606,2,4,2
S01607,4,5,2
S01608,2,1,1
S01609,3,2,4
S01610,3,1,4
S01611,4,4,4
S01612,5,1,2
S01613,3,5,4
S01614,2,5,1
S01615,2,5,1
S01616,4,3,4
S01617,1,5,5
S01618,2,3,5
S01619,3,3,3
S01620,4,3,3
S01621,5,1,1
S01622,3,4,5
S01623,2,5,1
S01624,5,4,3
S01625,5,1,4
S01626,2,2,4
S01627,2,3,3
S01628,3,4,1
S01629,5,5,4
S01630,4,1,2
S01631,4,4,4
S01632,2,3,2
S01633,1,4,2
S01634,4,3,1
S01635,5,5,5
S01636,3,3,1
S01637,4,4,4
S01638,3,5,4
S01639,3,3,2
S01640,1,1,1
S01641,4,5,1
S01642,3,2,2
S01643,5,2,1
S01644,3,3,3
S01645,2,5,3
S01646,3,1,1
S01647,2,3,3
S01648,4,2,1
S01649,3,4,3
S01650,1,3,3
S01651,1,5,5
S01652,3,3,1
S01653,3,3,4
S01654,3,5,5
S01655,3,4,4
S01656,5,4,3
S01657,1,2,4
S01658,3,2,4
S01659,4,3,5
S01660,5,4,2
S01661,1,4,4
S01662,2,3,3
S01663,1,2,1
S01664,3,5,4
S01665,2,5,1
S01666,2,4,2
S01667,4,1,5
S01668,5,1,2
S01669,2,5,1
S01670,2,5,3
S01671,2,1,5
S01672,4,1,3
S01673,3,5,3
S01674,2,3,2
S01675,4,4,5
S01676,4,3,5
S01677,1,5,5
S01678,2,4,3
S01679,4,4,3
S01680,2,1,5
S01681,2,2,5
S01682,2,4,3
S01683,1,3,2
S01684,4,2,2
S01685,5,1,5
S01686,3,3,5
S01687,4,1,1
S01688,5,2,4
S01689,1,3,2
S01690,1,5,5
S01691,3,1,4
S01692,4,2,4
S01693,4,5,4
S01694,4,3,3
S01695,4,2,1
S01696,4,5,3
S01697,3,4,1
S01698,2,1,4
S01699,5,3,5
S01700,3,1,5
S01701,5,1,4
S01702,3,3,3
S01703,3,4,5
S01704,5,2,5
S01705,5,4,3
S01706,2,5,4
S01707,4,2,4
S01708,4,2,2
S01709,4,5,4
S01710,4,3,5
S01711,4,1,1
S01712,5,3,2
S01713,4,2,1
S01714,5,5,2
S01715,2,3,2
S01716,2,1,1
S01717,3,2,1
S01718,3,2,4
S01719,4,1,2
S01720,2,1,3
S01721,4,2,2
S01722,1,3,1
S01723,3,4,1
S01724,2,2,1
S01725,3,5,5
S01726,4,4,5
S01727,5,1,2
S01728,1,2,3
S01729,1,1,4
S01730,5,2,3
S01731,1,1,5
S01732,1,1,4
S01733,5,5,1
S01734,5,4,4
S01735,1,4,5
S01736,1,3,2
S01737,5,1,4
S01738,3,2,5
S01739,5,3,4
S01740,2,1,1
S01741,3,4,4
S01742,1,1,2
S01743,4,5,5
S01744,2,1,1
S01745,2,5,2
S01746,2,5,5
S01747,4,4,2
S01748,4,5,2
S01749,4,2,5
S01750,2,2,2
S01751,4,5,3
S01752,1,3,5
S01753,5,2,1
S01754,5,4,5
S01755,2,4,1
S01756,2,4,3
S01757,1,1,3
S01758,5,1,2
S01759,5,2,2
S01760,1,1,2
S01761,5,3,4
S01762,1,4,4
S01763,5,3,5
S01764,4,5,5
S01765,1,2,3
S01766,2,3,1
S01767,2,5,2
S01768,3,3,5
S01769,1,4,4
S01770,1,4,1
S01771,3,3,3
S01772,1,2,1
S01773,1,4,4
S01774,2,2,3
S01775,5,2,4
S01776,4,3,2
S01777,3,3,5
S01778,1,4,5
S01779,2,2,2
S01780,1,4,4
S01781,2,4,4
S01782,3,5,5
S01783,4,3,3
S01784,2,3,1
S01785,1,5,2
S01786,5,2,3
S01787,1,4,3
S01788,2,1,4
S01789,4,3,1
S01790,5,3,3
S01791,3,2,4
S01792,4,5,5
S01793,2,4,1
S01794,3,4,1
S01795,3,3,1
S01796,4,3,2
S01797,1,3,3
S01798,1,2,5
S01799,1,3,3
S01800,2,2,2
S01801,3,1,4
S01802,2,4,3
S01803,4,3,2
S01804,2,4,1
S01805,3,2,3
S01806,2,3,2
S01807,5,5,1
S01808,1,3,4
S01809,5,2,1
S01810,3,5,4
S01811,1,2,2
S01812,5,3,5
S01813,4,4,5
S01814,3,4,2
S01815,4,4,2
S01816,4,2,3
S01817,2,2,3
S01818,4,5,2
S01819,2,5,4
S01820,1,5,2
S01821,2,2,5
S01822,1,5,2
S01823,2,3,2
S01824,3,4,5
S01825,5,4,3
S01826,5,5,1
S01827,1,5,5
S01828,5,3,5
S01829,2,4,4
S01830,1,5,1
S01831,4,2,5
S01832,1,3,3
S01833,5,1,2
S01834,3,3,5
S01835,3,4,4
S01836,5,5,2
S01837,5,5,5
S01838,5,5,5
S01839,1,2,5
S01840,2,5,1
S01841,5,5,5
S01842,5,1,3
S01843,2,1,2
S01844,2,2,3
S01845,1,1,1
S01846,4,3,3
S01847,3,4,2
S01848,4,2,1
S01849,1,4,3
S01850,2,4,3
S01851,3,3,5
S01852,1,1,1
S01853,2,2,5
S01854,3,3,2
S01855,1,2,4
S01856,1,2,2
S01857,4,2,5
S01858,2,5,2
S01859,4,4,1
S01860,3,5,2
S01861,4,3,4
S01862,5,1,1
S01863,1,5,1
S01864,5,5,2
S01865,3,5,4
S01866,5,1,1
S01867,2,4,3
S01868,1,3,2
S01869,2,4,2
S01870,4,4,3
S01871,5,2,1
S01872,1,1,5
S01873,2,2,5
S01874,5,5,4
S01875,5,5,4
S01876,1,1,5
S01877,2,3,5
S01878,4,1,5
S01879,3,2,3
S01880,1,1,3
S01881,2,1,2
S01882,4,3,2
S01883,4,1,4
S01884,4,5,3
S01885,4,2,4
S01886,4,1,2
S01887,2,3,4
S01888,2,3,2
S01889,4,1,5
S01890,1,4,1
S01891,3,5,5
S01892,2,2,1
S01893,2,3,3
S01894,1,2,2
S01895,5,3,1
S01896,5,4,1
S01897,2,4,4
S01898,5,3,3
S01899,5,2,5
S01900,5,4,4
S01901,3,4,4
S01902,4,2,4
S01903,4,5,2
S01904,2,4,4
S01905,5,3,3
S01906,1,3,5
S01907,3,3,1
S01908,4,4,5
S01909,1,4,4
S01910,4,5,4
S01911,4,1,2
S01912,4,1,1
S01913,1,1,1
S01914,3,1,1
S01915,5,4,4
S01916,3,4,4
S01917,5,5,2
S01918,3,4,4
S01919,5,3,4
S01920,2,2,2
S01921,5,5,2
S01922,2,5,3
S01923,3,5,2
S01924,5,2,4
S01925,4,1,2
S01926,3,3,1
S01927,2,1,2
S01928,1,3,2
S01929,5,3,5
S01930,2,2,4
S01931,5,5,3
S01932,5,3,4
S01933,4,4,3
S01934,3,2,1
S01935,2,2,1
S01936,3,1,4
S01937,1,1,4
S01938,5,4,3
S01939,1,2,1
S01940,2,4,1
S01941,5,1,2
S01942,2,5,5
S01943,5,1,3
S01944,4,2,1
S01945,2,5,3
S01946,2,3,4
S01947,2,2,2
S01948,1,3,1
S01949,4,2,4
S01950,4,1,1
S01951,3,5,5
S01952,2,3,4
S01953,2,5,5
S01954,1,5,4
S01955,1,2,4
S01956,4,5,5
S01957,2,5,5
S01958,5,4,1
S01959,2,2,2
S01960,1,2,4
S01961,2,3,3
S01962,4,1,2
S01963,1,2,2
S01964,3,2,2
S01965,4,5,4
S01966,1,2,5
S01967,3,4,5
S01968,2,4,2
S01969,5,2,1
S01970,2,2,4
S01971,1,1,3
S01972,1,4,2
S01973,2,1,3
S01974,3,2,2
S01975,3,3,3
S01976,3,3,4
S01977,5,3,2
S01978,4,2,5
S01979,3,1,1
S01980,5,2,5
S01981,3,3,2
S01982,4,1,4
S01983,2,4,1
S01984,2,4,2
S01985,2,4,1
S01986,2,1,2
S01987,2,4,4
S01988,5,1,4
S01989,5,1,1
S01990,5,4,2
S01991,2,3,5
S01992,4,3,2
S01993,4,4,3
S01994,4,5,5
S01995,4,3,4
S01996,4,2,1
S01997,2,5,3
S01998,4,3,4
S01999,3,4,5
