record_id,Date,Sales_Rep,Customer,Product,COGS,Sales,Country,State
S00084,10/3/18,Dan,McLendon's Hardware,EVO Item,9189.7784,9828.64,United States, Missouri
S00085,6/3/18,Dan,ExcelIsVeryFun.com,DWQ Item,4050.4581,,United States, Ohio
S00086,12/18/18,Dan,Office Depot,GCU Item,4920.1226,8482.97,United States, Wisconsin
S00087,2/6/19,Dan,McLendon's Hardware,DLN Item,7334.85995,7844.77,United States, Illinois
S00088,9/30/17,Dan,Office Depot,ZYT Item,6348.089,6789.4,United States, Indiana
S00089,8/30/17,Dan,Peet's Coffee,JYF Item,3931.9824,6779.28,United States, Iowa
S00090,7/17/18,Dan,Office Depot,IDZ Item,5375.1456,6108.12,United States, Michigan
S00091,12/9/17,Dan,Google,SZW Item,2607.7049,6064.43,United States, Minnesota
S00092,3/4/18,Dan,ExcelIsVeryFun.com,YAK Item,5245.7053,5610.38,United States, Illinois
S00093,11/16/18,Dan,Google,EKY Item,5142.92075,5500.45,United States, Indiana
S00094,6/10/19,Dan,Home Depot,OSX Item,2336.3964,5433.48,United States, Iowa
S00095,2/17/18,Dan,Peet's Coffee,AOB Item,3002.0096,4414.72,United States, Michigan
S00096,1/8/19,Dan,McLendon's Hardware,PQV Item,1201.9446,2795.22,United States, Minnesota
S00097,7/1/18,Dana L,Yahoo,STL Item,7429.1272,8442.19,United States, Missouri
S00098,11/5/18,Dana L,Google,FTH Item,7261.4696,8251.67,United States, Ohio
S00099,12/22/18,Dana L,McLendon's Hardware,TGY Item,4847.263,8215.7,United States, Wisconsin
S00100,8/8/17,Dana L,Costco,SPK Item,7632.0684,8162.64,United States, Illinois
S00101,9/22/18,Dana L,Solar and Wind Inc.,GWW Item,7160.4984,8136.93,United States, Indiana
S00102,3/1/19,Dana L,Whole Foods,STR Item,4421.1945,7493.55,United States, Iowa
S00103,3/27/19,Dana L,McLendon's Hardware,DPY Item,5943.5552,6754.04,United States, Michigan
S00104,4/13/19,Dana L,Office Depot,JXI Item,5416.98795,5793.57,United States, Minnesota
S00105,1/12/18,Dana L,Yahoo,AMO Item,2118.4757,5725.61,United States, Illinois
S00106,3/23/19,Dana L,Whole Foods,MCN Item,3132.0575,5694.65,United States, Indiana
S00107,6/27/17,Dana L,ExcelIsVeryFun.com,DWS Item,1990.1634,5378.82,United States, Iowa
S00108,5/30/19,Dana L,Sherman Williams,BSY Item,4190.1288,4761.51,United States, Michigan
S00109,11/24/18,Dana L,Office Depot,WBX Item,3276.39895,3504.17,United States, Minnesota
S00110,2/10/19,Dana L,Home Depot,LYS Item,1088.6912,2531.84,United States, Missouri
S00111,3/23/18,Dana L,Sherman Williams,SOJ Item,1264.9718,2144.02,United States, Ohio
S00112,2/5/19,Dana L,ExcelIsVeryFun.com,OJW Item,486.1709,1130.63,United States, Wisconsin
S00113,9/30/17,Dana L,Whole Foods,CBL Item,444.07,807.4,United States, Illinois
S00114,10/2/18,Daniil N,Home Depot,KNW Item,4428.512,8051.84,United States, Indiana
S00115,6/6/18,Daniil N,Whole Foods,SUK Item,3305.367,7345.26,United States, Iowa
S00116,10/2/17,Daniil N,Costco,CLS Item,6662.8287,7126.02,United States, Michigan
S00117,3/30/19,Daniil N,Sherman Williams,DYV Item,3133.125,6962.5,United States, Minnesota
S00118,10/28/18,Daniil N,Solar and Wind Inc.,VMC Item,4705.0725,6273.43,United States, Illinois
S00119,3/19/19,Daniil N,Sherman Williams,FYG Item,3434.025,4578.7,United States, Indiana
S00120,4/10/18,Daniil N,Whole Foods,TVX Item,2059.2947,3490.33,United States, Iowa
S00121,12/29/18,Daniil N,Peet's Coffee,NFY Item,822.2653,1393.67,United States, Michigan
S00122,9/28/18,Daniil N,Yahoo,UNF Item,1000.4775,1333.97,United States, Minnesota
S00123,9/28/18,Daniil N,Sherman Williams,DCC Item,1013.1176,1151.27,United States, Missouri
S00124,9/26/18,Daniil N,ExcelIsVeryFun.com,BYJ Item,403.8388,939.16,United States, Ohio
S00125,6/7/19,Desiree A,Nature Company,QDA Item,5395.126,9809.32,United States, Wisconsin
S00126,7/23/18,Desiree A,Whole Foods,JRV Item,5299.4576,7793.32,United States, Illinois
S00127,8/9/18,Desiree A,Peet's Coffee,GTP Item,4070.6401,6899.39,United States, Indiana
S00128,1/14/18,Desiree A,McLendon's Hardware,LXS Item,6385.7321,6829.66,United States, Iowa
S00129,2/18/18,Desiree A,Whole Foods,FKD Item,2924.2365,6800.55,United States, Michigan
S00130,4/20/18,Desiree A,Costco,KXJ Item,4501.755,6002.34,United States, Minnesota
S00131,12/23/18,Desiree A,Solar and Wind Inc.,FWO Item,4489.32,5985.76,United States, Illinois
S00132,12/27/18,Desiree A,Sherman Williams,SWI Item,2325.6495,5168.11,United States, Indiana
S00133,5/16/18,Desiree A,Yahoo,HXF Item,2000.2826,4651.82,United States, Iowa
S00134,4/3/19,Desiree A,Solar and Wind Inc.,KBV Item,3714.31555,3972.53,United States, Michigan
S00135,1/25/18,Desiree A,Sherman Williams,BPZ Item,3148.5256,3577.87,United States, Minnesota
S00136,1/24/18,Desiree A,ExcelIsVeryFun.com,CTB Item,2303.4252,3387.39,United States, Missouri
S00137,1/5/19,Desiree A,Peet's Coffee,LWH Item,3128.8279,3346.34,United States, Ohio
S00138,2/8/18,Desiree A,Google,WWB Item,1936.7625,2582.35,United States, Wisconsin
S00139,8/8/18,Dina,ExcelIsVeryFun.com,BDX Item,5623.762,9531.8,United States, Illinois
S00140,1/6/19,Dina,Amazon.com,ADY Item,8498.82275,9089.65,United States, Indiana
S00141,12/20/17,Dina,Amazon.com,ZON Item,4999.8842,8474.38,United States, Iowa
S00142,3/19/19,Dina,The Economist,KFB Item,4976.2783,8434.37,United States, Michigan
S00143,11/12/17,Dina,Solar and Wind Inc.,PET Item,3504.6548,8150.36,United States, Minnesota
S00144,4/28/18,Dina,McLendon's Hardware,NBV Item,6469.4333,6919.18,United States, Illinois
S00145,6/25/18,Dina,The Economist,SYE Item,3633.498,6606.36,United States, Indiana
S00146,3/15/19,Dina,Amazon.com,PMB Item,3260.004,3704.55,United States, Iowa
S00147,6/10/18,Dina,The Economist,HGY Item,1411.174,3281.8,United States, Michigan
S00148,2/23/18,Dina,Google,JVF Item,924.2748,2498.04,United States, Minnesota
S00149,8/9/17,Dina,Sherman Williams,ZEI Item,1370.5505,2491.91,United States, Missouri
S00150,8/6/18,Dina,Google,DMU Item,769.6148,2080.04,United States, Ohio
S00151,10/4/18,Donald Wayne,Amazon.com,ULS Item,3640.3153,9838.69,United States, Wisconsin
S00152,5/1/19,Donald Wayne,Solar and Wind Inc.,XTG Item,5990.4975,7987.33,United States, Illinois
S00153,10/27/18,Donald Wayne,The Economist,DNA Item,6349.5872,7215.44,United States, Indiana
S00154,3/29/18,Donald Wayne,Google,UMR Item,5290.05,7053.4,United States, Iowa
S00155,5/14/18,Donald Wayne,Yahoo,MXO Item,4029.0628,6828.92,United States, Michigan
S00156,3/13/18,Donald Wayne,Whole Foods,ABB Item,3604.656,6553.92,United States, Minnesota
S00157,9/6/18,Donald Wayne,Peet's Coffee,HMK Item,4294.03,6314.75,United States, Illinois
S00158,8/9/18,Donald Wayne,Whole Foods,TLW Item,3580.6875,4774.25,United States, Indiana
S00159,5/20/18,Donald Wayne,Amazon.com,MSL Item,2929.712,4308.4,United States, Iowa
S00160,9/6/18,Donald Wayne,Nature Company,SHW Item,3853.0602,4120.92,United States, Michigan
S00161,8/6/17,Donald Wayne,Costco,UZM Item,1254.2889,3389.97,United States, Minnesota
S00162,2/4/19,Donald Wayne,Costco,YUO Item,1465.0916,2526.02,United States, Missouri
S00163,7/8/17,Donald Wayne,Sherman Williams,ERC Item,1676.6288,1905.26,United States, Ohio
S00164,12/9/18,Hassan M,Costco,XYL Item,6619.086,9733.95,United States, Wisconsin
S00165,7/10/17,Hassan M,McLendon's Hardware,YOU Item,5100.5515,9273.73,United States, Illinois
S00166,12/16/17,Hassan M,Amazon.com,LII Item,7221.7024,8206.48,United States, Indiana
S00167,12/9/17,Hassan M,McLendon's Hardware,VQN Item,6029.985,8039.98,United States, Iowa
S00168,6/8/19,Hassan M,Sherman Williams,GWD Item,4651.7016,7884.24,United States, Michigan
S00169,9/6/17,Hassan M,Solar and Wind Inc.,XKP Item,5481.7664,6229.28,United States, Minnesota
S00170,5/9/19,Hassan M,Home Depot,BQD Item,4285.1775,5713.57,United States, Illinois
S00171,11/28/17,Hassan M,Amazon.com,CIU Item,2143.98,4764.4,United States, Indiana
S00172,,Hassan M,Amazon.com,WXR Item,2714.0059,4600.01,United States, Iowa
S00173,2/7/19,Hassan M,Home Depot,DPA Item,2895.18075,3096.45,United States, Michigan
S00174,1/5/19,Michael G,Sherman Williams,YWG Item,5672.0122,9613.58,United States, Minnesota
S00175,10/18/17,Michael G,The Economist,MZS Item,8929.9045,9550.7,United States, Missouri
S00176,3/24/19,Michael G,Whole Foods,JGD Item,5628.87,8277.75,United States, Ohio
S00177,1/9/19,Michael G,Nature Company,VMA Item,7340.2923,7850.58,United States, Wisconsin
S00178,12/16/17,Michael G,Yahoo,FZK Item,4145.5819,7026.41,United States, Illinois
S00179,7/15/17,Michael G,Yahoo,UXX Item,4614.5072,6786.04,United States, Indiana
S00180,2/1/19,Michael G,Peet's Coffee,PED Item,4422.4548,6503.61,United States, Iowa
S00181,5/8/19,Michael G,Costco,VGC Item,1834.0456,4956.88,United States, Michigan
S00182,11/13/17,Michael G,ExcelIsVeryFun.com,BDN Item,3755.3824,4267.48,United States, Minnesota
S00183,5/22/18,Michael G,Google,FEP Item,1444.0582,3902.86,United States, Illinois
S00184,10/26/18,Michael G,Sherman Williams,IOP Item,1691.9725,2867.75,United States, Indiana
S00185,2/7/19,Michael G,Office Depot,LVU Item,297.9351,805.23,United States, Iowa
S00186,7/5/18,Michael G,Home Depot,ZJD Item,700.90405,749.63,United States, Michigan
S00187,2/4/19,Nikol M,Nature Company,BVN Item,4114.4077,9568.39,United States, Minnesota
S00188,6/18/18,Nikol M,Yahoo,MDV Item,4302.009,9560.02,United States, Missouri
S00189,3/12/19,Nikol M,Google,DXU Item,3445.1292,9311.16,United States, Ohio
S00190,7/18/18,Nikol M,Yahoo,CVY Item,4445.8334,7665.23,United States, Wisconsin
S00191,4/14/19,Nikol M,Amazon.com,EPL Item,6221.9201,6654.46,United States, Illinois
S00192,6/7/18,Nikol M,Amazon.com,RCC Item,2763.3285,6140.73,United States, Indiana
S00193,6/27/18,Nikol M,ExcelIsVeryFun.com,LCU Item,3976.5968,4518.86,United States, Iowa
S00194,4/27/18,Nikol M,Home Depot,ICQ Item,3027.87,4452.75,United States, Michigan
S00195,5/29/18,Nikol M,Home Depot,BMC Item,3938.09845,4211.87,United States, Minnesota
S00196,6/24/18,Nikol M,ExcelIsVeryFun.com,XJT Item,3189.35045,3411.07,United States, Illinois
S00197,4/12/19,Nikol M,Peet's Coffee,PDI Item,987.831,2195.18,United States, Indiana
S00198,7/22/17,Nikol M,Peet's Coffee,RAR Item,704.2708,1214.26,United States, Iowa
S00199,9/30/18,Nikol M,ExcelIsVeryFun.com,BFX Item,472.3785,1049.73,United States, Michigan
S00200,4/27/18,Nikol M,Google,OPN Item,73.7715,134.13,United States, Minnesota
S00201,2/28/19,Sarabeth L,McLendon's Hardware,NEN Item,8702.3376,9889.02,United States, Missouri
S00202,1/21/18,Sarabeth L,Whole Foods,NSN Item,8615.6224,9790.48,United States, Ohio
S00203,5/22/18,Sarabeth L,Amazon.com,GFK Item,6011.2204,8840.03,United States, Wisconsin
S00204,3/10/18,Sarabeth L,Costco,OOD Item,6587.55,8783.4,United States, Illinois
S00205,9/23/18,Sarabeth L,Google,NWF Item,4440.5185,8073.67,United States, Indiana
S00206,4/12/19,Sarabeth L,Whole Foods,EPK Item,5928.8175,7905.09,United States, Iowa
S00207,8/18/17,Sarabeth L,Google,ZQU Item,4844.0752,7123.64,United States, Michigan
S00208,12/16/18,Sarabeth L,Costco,QDR Item,3978.1852,6858.94,United States, Minnesota
S00209,10/7/17,Sarabeth L,Nature Company,AMV Item,4574.7884,6727.63,United States, Illinois
S00210,7/3/18,Sarabeth L,ExcelIsVeryFun.com,EPQ Item,1598.1743,4319.39,United States, Indiana
S00211,4/29/19,Sarabeth L,Whole Foods,VJO Item,2714.3696,3991.72,United States, Iowa
S00212,2/6/18,Sarabeth L,McLendon's Hardware,XTY Item,1615.6175,3757.25,United States, Michigan
S00213,1/2/18,Sarabeth L,Amazon.com,OJA Item,2437.664,3584.8,United States, Minnesota
S00214,10/14/17,Sarabeth L,Peet's Coffee,ITT Item,2317.304,3407.8,United States, Missouri
S00215,6/6/19,Sarabeth L,Yahoo,BMF Item,1701.5423,2883.97,United States, Ohio
S00216,3/26/19,Sarabeth L,ExcelIsVeryFun.com,KRH Item,1404.5454,2421.63,United States, Wisconsin
S00217,3/6/19,Sarabeth L,Office Depot,YHJ Item,925.9605,2057.69,United States, Illinois
S00218,3/5/18,Sarabeth L,Office Depot,QSQ Item,796.026,1447.32,United States, Indiana
S00219,12/21/18,Sarabeth L,Home Depot,CPG Item,189.2735,511.55,United States, Iowa
S00220,11/13/18,Sarabeth L,Solar and Wind Inc.,OSL Item,176.1866,303.77,United States, Michigan
S00221,6/18/18,Sarabeth L,Peet's Coffee,OVC Item,175.7964,297.96,United States, Minnesota
S00222,6/3/18,Shannon L,Solar and Wind Inc.,UOE Item,6306.4725,8408.63,United States, Illinois
S00223,9/25/18,Shannon L,Whole Foods,VPL Item,5781.8175,7709.09,United States, Indiana
S00224,3/7/18,Shannon L,Costco,VTQ Item,4069.879,7399.78,United States, Iowa
S00225,12/2/17,Shannon L,McLendon's Hardware,IUU Item,2965.0392,6895.44,United States, Michigan
S00226,7/26/18,Shannon L,Solar and Wind Inc.,KNK Item,944.0472,1600.08,United States, Minnesota
S00227,5/18/18,Shannon L,Whole Foods,HSH Item,567.8816,607.36,United States, Missouri
S00228,2/16/19,Shannon L,Office Depot,UXT Item,83.82,95.25,United States, Ohio
S00229,7/12/18,Shuting,Yahoo,JUR Item,3653.8684,9875.32,United States, Wisconsin
S00230,5/18/19,Shuting,The Economist,PGQ Item,8649.28295,9250.57,United States, Illinois
S00231,2/22/18,Shuting,Office Depot,BQW Item,7872.3216,8945.82,United States, Indiana
S00232,3/1/19,Shuting,Whole Foods,YNQ Item,3185.7074,8610.02,United States, Iowa
S00233,1/4/18,Shuting,Home Depot,BKL Item,3442.1715,8005.05,United States, Michigan
S00234,10/18/18,Shuting,Amazon.com,PDH Item,3776.4322,6511.09,United States, Minnesota
S00235,2/11/18,Shuting,Solar and Wind Inc.,HGT Item,3639.015,4852.02,United States, Illinois
S00236,5/18/19,Shuting,Whole Foods,WBE Item,3489.6525,4652.87,United States, Indiana
S00237,3/17/18,Shuting,Yahoo,WOW Item,1445.6381,3907.13,United States, Iowa
S00238,4/4/19,Shuting,Sherman Williams,HRL Item,1961.4825,2615.31,United States, Michigan
S00239,2/1/18,Shuting,The Economist,FPK Item,1760.20295,1882.57,United States, Minnesota
S00240,5/5/18,Shuting,Sherman Williams,PYI Item,742.9755,1727.85,United States, Missouri
S00241,2/20/19,Shuting,ExcelIsVeryFun.com,IWG Item,1201.3275,1601.77,United States, Ohio
S00242,10/13/17,Shuting,Whole Foods,OHC Item,1108.80715,1185.89,United States, Wisconsin
S00243,4/3/19,Suzanne M,Costco,SLL Item,8792.4672,9991.44,United States, Illinois
S00244,7/25/17,Suzanne M,Yahoo,CVQ Item,7400.6775,9867.57,United States, Indiana
S00245,2/6/19,Suzanne M,Sherman Williams,TEY Item,4349.0475,9664.55,United States, Iowa
S00246,7/30/17,Suzanne M,Nature Company,IRA Item,6831.51205,7306.43,United States, Michigan
S00247,4/4/18,Suzanne M,Google,QZW Item,5896.5016,6700.57,United States, Minnesota
S00248,11/29/17,Suzanne M,Home Depot,EEE Item,2682.0261,6237.27,United States, Illinois
S00249,6/11/18,Suzanne M,McLendon's Hardware,UBQ Item,2170.674,4823.72,United States, Indiana
S00250,1/27/18,Suzanne M,Costco,ARS Item,3576.3728,4064.06,United States, Iowa
S00251,8/16/18,Suzanne M,McLendon's Hardware,DXS Item,1983.9016,3420.52,United States, Michigan
S00252,2/19/18,Suzanne M,Costco,QKE Item,2891.0552,3285.29,United States, Minnesota
S00253,12/29/17,Suzanne M,Peet's Coffee,ZCO Item,2767.9344,3145.38,United States, Missouri
S00254,12/28/18,Suzanne M,The Economist,DTW Item,1774.5371,3007.69,United States, Ohio
S00255,3/1/19,Suzanne M,Amazon.com,BQS Item,1049.8713,2837.49,United States, Wisconsin
S00256,1/24/19,Suzanne M,Solar and Wind Inc.,BYD Item,1149.089,2672.3,United States, Illinois
S00257,8/13/17,Suzanne M,Solar and Wind Inc.,HMO Item,1054.7642,2452.94,United States, Indiana
S00258,1/12/18,Toni M,Solar and Wind Inc.,UDH Item,6619.97,9735.25,United States, Iowa
S00259,12/27/17,Toni M,Solar and Wind Inc.,ZFB Item,3396.2485,9179.05,United States, Michigan
S00260,9/7/17,Toni M,Office Depot,CVM Item,7884.26595,8432.37,United States, Minnesota
S00261,11/2/18,Toni M,McLendon's Hardware,NIV Item,5180.138,7617.85,United States, Illinois
S00262,1/9/18,Toni M,Amazon.com,WHT Item,5832.7016,6628.07,United States, Indiana
S00263,7/8/17,Toni M,Nature Company,XKR Item,3708.54,4944.72,United States, Iowa
S00264,11/6/18,Toni M,Amazon.com,DWD Item,3078.666,4527.45,United States, Michigan
S00265,8/29/17,Toni M,Solar and Wind Inc.,YFB Item,1775.8355,4129.85,United States, Minnesota
S00266,3/2/19,Toni M,ExcelIsVeryFun.com,HUA Item,1850.7735,4112.83,United States, Missouri
S00267,9/23/17,Toni M,Yahoo,BVV Item,1657.1992,2857.24,United States, Ohio
S00268,3/13/18,Toni M,Peet's Coffee,QRF Item,1126.1528,2618.96,United States, Wisconsin
S00269,3/23/18,Toni M,Costco,MKA Item,944.4102,2552.46,United States, Illinois
S00270,1/22/18,Toni M,Solar and Wind Inc.,DAJ Item,2132.93135,2281.21,United States, Indiana
S00271,5/30/18,Toni M,Amazon.com,FAX Item,1004.5194,1731.93,United States, Iowa
S00272,2/24/18,Toni M,Amazon.com,KMR Item,655.1875,1191.25,United States, Michigan
S00273,10/9/18,Toni M,Amazon.com,JQC Item,373.665,498.22,United States, Minnesota
S00274,1/13/18,Tonya J,The Economist,KHM Item,5046.5827,8553.53,United States, Illinois
S00275,1/18/19,Tonya J,Nature Company,JQL Item,3651.7105,8492.35,United States, Indiana
S00276,5/21/18,Tonya J,Amazon.com,SMI Item,4149.3485,7544.27,United States, Iowa
S00277,2/10/19,Tonya J,McLendon's Hardware,IUD Item,3235.2345,7189.41,United States, Michigan
S00278,11/1/18,Tonya J,Office Depot,KAI Item,4805.8864,7067.48,United States, Minnesota
S00279,6/24/17,Tonya J,Home Depot,ULM Item,6180.37805,6610.03,United States, Missouri
S00280,12/21/17,Tonya J,Whole Foods,EXU Item,2432.7352,6574.96,United States, Ohio
S00281,8/22/18,Tonya J,Home Depot,GPH Item,4442.3175,5923.09,United States, Wisconsin
S00282,3/5/18,Tonya J,Costco,HMD Item,3412.3836,5883.42,United States, Illinois
S00283,4/16/19,Tonya J,Nature Company,XCF Item,2521.9543,5865.01,United States, Indiana
S00284,1/9/19,Tonya J,Google,PNA Item,2070.557,5596.1,United States, Iowa
S00285,4/29/19,Tonya J,Solar and Wind Inc.,SUD Item,3196.6178,5511.41,United States, Michigan
S00286,6/7/18,Tonya J,McLendon's Hardware,VRL Item,3612.194,5312.05,United States, Minnesota
S00287,3/25/19,Tonya J,The Economist,AVS Item,4543.4642,4859.32,United States, Illinois
S00288,11/7/17,Tonya J,Yahoo,OMP Item,2972.2392,4370.94,United States, Indiana
S00289,11/17/17,Tonya J,Home Depot,HBN Item,3404.2008,3868.41,United States, Iowa
S00290,1/19/19,Tonya J,Peet's Coffee,MWR Item,1247.7436,3372.28,United States, Michigan
S00291,,Tonya J,McLendon's Hardware,EBS Item,1901.445,2535.26,United States, Minnesota
S00292,12/5/17,Tonya J,Nature Company,YEK Item,505.125,673.5,United States, Missouri
S00293,10/2/18,Tonya J,ExcelIsVeryFun.com,NBK Item,167.9623,390.61,United States, Ohio
S00294,7/13/18,Vivien R,Peet's Coffee,KZK Item,6877.98,9170.64,United States, Wisconsin
S00295,10/31/17,Vivien R,Peet's Coffee,FPU Item,7841.6448,8910.96,United States, Illinois
S00296,5/6/19,Vivien R,McLendon's Hardware,WAJ Item,3172.0618,8573.14,United States, Indiana
S00297,9/4/17,Vivien R,Yahoo,IAG Item,5988.93,7985.24,United States, Iowa
S00298,8/28/18,Vivien R,The Economist,WEW Item,5349.4444,7866.83,United States, Michigan
S00299,8/17/17,Vivien R,Home Depot,YHI Item,3418.536,6215.52,United States, Minnesota
S00300,7/27/18,Vivien R,Solar and Wind Inc.,GLY Item,5352.9696,6082.92,United States, Illinois
S00301,10/5/17,Vivien R,The Economist,JPT Item,2580.172,6000.4,United States, Indiana
S00302,12/17/17,Vivien R,Yahoo,WIP Item,3075.82,5592.4,United States, Iowa
S00303,4/4/18,Vivien R,The Economist,EYG Item,3918.3584,4452.68,United States, Michigan
S00304,12/19/18,Vivien R,Home Depot,JRS Item,2986.3084,4391.63,United States, Minnesota
S00305,8/9/18,Vivien R,Solar and Wind Inc.,JFK Item,1327.1234,3586.82,United States, Missouri
S00306,3/1/18,Vivien R,Home Depot,DEW Item,1363.1416,2004.62,United States, Ohio
S00307,5/30/19,Vivien R,Sherman Williams,BFS Item,1138.0952,1293.29,United States, Wisconsin
S00308,5/17/19,Vivien R,ExcelIsVeryFun.com,UBW Item,436.8627,1180.71,United States, Illinois
S00309,8/28/18,Vivien R,Yahoo,WFJ Item,489.078,1086.84,United States, Indiana
S00310,7/23/17,Vivien R,Nature Company,SAG Item,829.3296,942.42,United States, Iowa
S00311,6/28/17,Vivien R,Yahoo,VGE Item,844.6229,903.34,United States, Michigan
S00312,1/17/19,Vivien R,Yahoo,NNJ Item,746.9715,798.9,United States, Minnesota
S00313,6/7/19,Vivien R,Peet's Coffee,UJZ Item,304.81,326,United States, Illinois
S00314,11/9/18,Vivien R,ExcelIsVeryFun.com,WXM Item,126.852,144.15,United States, Indiana
S00315,12/31/17,Abdisamad A,ExcelIsVeryFun.com,YAE Item,8667.1728,9849.06,United States,Kansas
S00316,6/17/18,Abdisamad A,Peet's Coffee,YOY Item,6311.318,9281.35,United States,Nebraska
S00317,5/1/19,Abdisamad A,Solar and Wind Inc.,KJJ Item,6605.4975,8807.33,United States,NorthDakota
S00318,12/31/18,Abdisamad A,Costco,WKS Item,4764.705,8663.1,United States,SouthDakota
S00319,10/20/17,Abdisamad A,Yahoo,XKA Item,5499.7788,8087.91,United States,Kansas
S00320,9/2/18,Abdisamad A,ExcelIsVeryFun.com,WOP Item,4413.156,8023.92,United States,Nebraska
S00321,5/3/19,Abdisamad A,ExcelIsVeryFun.com,GTC Item,4468.6187,7573.93,United States,NorthDakota
S00322,11/15/18,Abdisamad A,Nature Company,ILH Item,4854.3364,7138.73,United States,SouthDakota
S00323,1/20/18,Abdisamad A,Nature Company,ZZU Item,5085.3075,6780.41,United States,Kansas
S00324,4/9/18,Abdisamad A,ExcelIsVeryFun.com,WWR Item,4048.584,5953.8,United States,Nebraska
S00325,11/8/18,Abdisamad A,The Economist,INO Item,3336.155,5654.5,United States,NorthDakota
S00326,5/19/18,Abdisamad A,Costco,VQG Item,5267.87415,5634.09,United States,SouthDakota
S00327,5/10/19,Abdisamad A,Amazon.com,NDS Item,2236.3419,3790.41,United States,Kansas
S00328,11/20/18,Abdisamad A,Home Depot,FEK Item,1531.2128,3560.96,United States,Nebraska
S00329,3/1/19,Abdisamad A,The Economist,IME Item,1843.842,3352.44,United States,NorthDakota
S00330,8/1/17,Abdisamad A,Costco,AXW Item,2934.8968,3335.11,United States,SouthDakota
S00331,4/25/18,Analyssa C,Nature Company,EWC Item,8208.3408,9327.66,United States,Kansas
S00332,9/14/18,Analyssa C,McLendon's Hardware,VVT Item,3607.241,6558.62,United States,Nebraska
S00333,4/14/18,Analyssa C,ExcelIsVeryFun.com,FDS Item,2823.147,6273.66,United States,NorthDakota
S00334,8/25/18,Analyssa C,ExcelIsVeryFun.com,WJP Item,2596.2075,5769.35,United States,SouthDakota
S00335,3/27/19,Analyssa C,Amazon.com,WOD Item,3377.2603,5724.17,United States,Kansas
S00336,5/27/18,Analyssa C,Nature Company,OGH Item,2116.3998,4921.86,United States,Nebraska
